,codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
684,44148,PTMZE,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,64000,64000,154.0,1999.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0
685,44149,PTMXH,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A321-231,A321,JATO,BIMOTOR,89000,89000,232.0,2011.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0
686,44153,PRMHT,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2002.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
687,44155,PTTMA,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,75500,75500,154.0,2009.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
688,44156,PRMYE,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,70000,70000,184.0,2009.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
689,44159,PRMHS,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2007.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
690,44173,PRMBY,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,77000,184.0,2002.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
691,44188,PTIRJ,not informed,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,AERÓDROMO NACIONAL DE AVIAÇÃO,AERÓDROMO NACIONAL DE AVIAÇÃO,TÁXI,PRIVADA,NENHUM,0
692,44198,PUVVV,EXPERIMENTAL,ULTRALEVE,not informed,VENTURA TOO,ULAC,PISTÃO,MONOMOTOR,570,570,2.0,2007.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,EXPERIMENTAL,not informed,0
693,44231,PTESF,not informed,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,3175,3175,8.0,1978.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,ARCOVERDE,OSCAR LARANJEIRAS,TÁXI,TÁXI AÉREO,SUBSTANCIAL,0
694,44233,PRCRZ,not informed,AVIÃO,PIPER AIRCRAFT,PA-WNE,not informed,not informed,SEM TRAÇÃO,1315,1315,0.0,0.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
695,44235,PROAR,REGULAR,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1993.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
696,44238,PTJZC,not informed,AVIÃO,PIPER AIRCRAFT,PA-28R-200,P28R,PISTÃO,MONOMOTOR,1202,1202,4.0,1974.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
697,44242,PPMED,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,S76,TURBOEIXO,BIMOTOR,4763,4763,14.0,1981.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,LEVE,0
698,44244,PTOSM,not informed,AVIÃO,CESSNA AIRCRAFT,S550,C550,JATO,BIMOTOR,6849,6849,10.0,1988.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
